New Name,Feature_Description,Date,MapInfo,Province,FeatureSubTypeID,Previous_Name,MagisterialDistrictID,ProvinceID,fklLanguageID,Disteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning,Language
Centane,Town,2006-07-27 00:00:00,Lat: 32° 30' Long: 28° 19',Eastern Cape,111.0,,367.0,1.0,10.0,DC12,Mnquma,,Amathole,EC122,,,
Ceres Mountain Fynbos Nature Reserve,Nature Reserve,2001-05-31 00:00:00,,Western Cape,62.0,,27.0,9.0,16.0,DC2,Witzenberg,,Cape Winelands,WC022,,,
Chefana,River (not specified),2005-02-25 00:00:00,31 km NE,Eastern Cape,119.0,Cefane,,1.0,10.0,DC13,Engcobo,,Chris Hani,EC137,Cefane,,
Chelmsford Public Resort Nature Reserve,Nature Reserve,2000-05-31 00:00:00,,KwaZulu-Natal,62.0,,227.0,4.0,16.0,DC25,Newcastle,,Amathole,KZ252,,,
Chief A Luthuli Park,Town,2000-03-14 00:00:00,15 km SW of Daveyton,Gauteng,111.0,,276.0,3.0,17.0,,Ekurhuleni Metro,,Ekurhuleni,EKU,,,
Cokonyane,Post Office,2001-04-08 00:00:00,15 km NE of Taung,North West,73.0,,431.0,8.0,8.0,DC39,Greater Taung,,"Dr Ruth Segomotsi Mompati
",NW394,,,
Constitution Hill,Heritage resource,2004-04-08 00:00:00,,Gauteng,116.0,,,3.0,2.0,,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo,
Cooper’s Park,Post Office,2000-03-14 00:00:00,75 km NW of Polokwane,Limpopo,73.0,,346.0,7.0,2.0,DC35,Aganang,,Capricorn,NP352,,,
Cordon,Post Office,2001-08-14 00:00:00,42 km W of Polokwane,Limpopo,73.0,,346.0,7.0,2.0,DC36,Mogalakwena,,Waterberg,NP367,,,
Cosmo City,Township,2006-07-27 00:00:00,Lat: 26° 02' Long: 27° 55',Gauteng,130.0,,273.0,3.0,2.0,,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo,
Cottage,Post Office,2001-08-14 00:00:00,18 km E of Polokwane,Limpopo,73.0,,328.0,7.0,2.0,DC35,Polokwane,,Capricorn,NP354,,,
Cracouw Farm,Post Office,2000-03-14 00:00:00,20 km W of Juno,Limpopo,73.0,,346.0,7.0,2.0,DC35,Blouberg,,Capricorn,NP351,,,
Dan,Post Office,2000-09-07 00:00:00,17 km E of Tzaneen,Limpopo,73.0,,325.0,7.0,14.0,DC33,Greater Tzaneen,,Mopani,NP333,,,
De Vrede,Post Office,2002-05-01 00:00:00,140 km N of Polokwane,Limpopo,73.0,,344.0,7.0,14.0,DC35,Molemole,,Capricorn,NP353,,,
Deelpan,Post Office,2001-08-14 00:00:00,30 km N of Sannieshof,North West,73.0,,258.0,8.0,1.0,DC38,Tswaing,,Ngaka Modiri Molema,NW382,,,
Dertig,Post Office,2000-09-07 00:00:00,12 km from Temba Post Office,North West,73.0,,269.0,8.0,1.0,DC37,Moretele,,Bojanala,NW371,,,
Die Heuwel Dam,Dam,2000-05-31 00:00:00,,Western Cape,23.0,,30.0,9.0,16.0,DC2,Witzenberg,,Cape Winelands,WC022,,,
Diepsloot,Post Office,2000-03-14 00:00:00,70 km NW of Bochum,Northern Cape,73.0,,344.0,6.0,1.0,DC7,Siyancuma,,Pixley ka Seme,NC078,,,
Digwale,Mountain,2004-05-28 00:00:00,,Mpumalanga,44.0,,,5.0,,DC31,Dr JS Moroka,,Nkangala,MP316,,,
Dikgothatso,Post Office,2001-08-14 00:00:00,4 km SE of Botshabelo Complex,Free State,73.0,,191.0,2.0,8.0,DC17,Mangaung,,Mangaung,FS172,,,
Dikhuting,Post Office,2001-04-08 00:00:00,30 km E of Taung,North West,73.0,,431.0,8.0,8.0,DC39,Greater Taung,,"Dr Ruth Segomotsi Mompati
",NW394,,,
Dikwebu,Post Office,2001-08-14 00:00:00,"1,5 km N of  Rantebeng",North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Dilopye,Post Office,2000-03-14 00:00:00,13 km W of Hammanskraal,Gauteng,73.0,,446.0,3.0,8.0,,Tshwane Metro,,Tshwane Metro,TSH,,test1,
Dimpšhe,Post Office,2001-08-14 00:00:00,93 km W of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Aganang,,Capricorn,NP352,,,
Dinare,Post Office,2001-08-14 00:00:00,155 km N of  Polokwane,Limpopo,73.0,,344.0,7.0,1.0,DC34,Makhado,,Vhembe,NP344,,,
Dipetlwane,Post Office,2001-08-14 00:00:00,10 km S of Bedwang RPA,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Dipodi,Village,2009-09-18 00:00:00,,North West,,Jakkalsdraai,,,,,Kagisano/Molopo,,Dr Ruth Segomotsi Mompati,,Change of Name,,
